ordenation,description,width,height,quantity,amount_unit
1,PORTA DE GIRO 01 FOLHA COM LAMBRI | GOLD...,800,1900,1,"1825.20"
2,PORTA DE GIRO 01 FOLHA COM LAMBRI | GOLD...,800,2100,2,"1999.45"
3,PORTA PIVOTANTE 01 FOLHA COM LAMBRI | GOLD...,1200,2500,1,"4835.11"
4,PORTA DE GIRO 01 FOLHA COM LAMBRI | GOLD...,700,2100,1,"1889.28"
5,MAXIM-AR COM 01 MÓDULO | GOLD...,900,500,1,"601.05"
6,JANELA DE CORRER 02 FOLHAS - 01 FIXA E 01 MÓVEL | GO...,1500,2000,2,"3306.70"
7,JANELA DE CORRER 04 FOLHAS - 02 FIXAS E 02 MÓVEIS | ...,1800,1000,1,"3700.67"
8,MAXIM-AR COM 02 MÓDULOS HORIZONTAIS | GOLD...,1100,500,2,"1168.72"
9,JANELA DE CORRER 04 FOLHAS MÓVEIS | GOLD...,1500,1000,1,"4071.05"
10,JANELA DE CORRER 04 FOLHAS - 02 FIXAS E 02 MÓVEIS | ...,2000,1000,1,"3842.14"
11,JANELA DE CORRER 02 FOLHAS - 01 FIXA E 01 MÓVEL | GO...,800,1050,1,"2028.02"
12,MAXIM-AR COM 02 MÓDULOS HORIZONTAIS | GOLD...,1200,500,1,"1186.01"
13,MAXIM-AR COM 01 MÓDULO | GOLD...,600,500,1,"497.23"
15,PORTA DE GIRO 01 FOLHA COM VENEZIANA | GOLD...,700,2100,1,"1924.98"
16,PORTA DE CORRER 04 FOLHAS MÓVEIS SEQUÊNCIAIS | TRILH...,3680,2500,1,"10355.19"
